"ZIP","TotReturns","Adj_AGI","Avg_AGI","Indx"
11106,21590,160904.11,7.45,2.01
11109,2830,77365.75,27.34,3.31
11201,29840,784244.27,26.28,3.27
11203,36190,272012.8,7.52,2.02
11204,31460,219596.46,6.98,1.94
11205,17780,134100.03,7.54,2.02
11206,34230,253626.36,7.41,2
11207,39630,291355.39,7.35,1.99
11208,40780,304866.95,7.48,2.01
11209,33240,290809.07,8.75,2.17
11210,28500,225423.06,7.91,2.07
11211,29530,225477.81,7.64,2.03
11212,35900,271452.95,7.56,2.02
11213,27570,201077.36,7.29,1.99
11214,37860,259146.39,6.84,1.92
11215,35630,514656.11,14.44,2.67
11216,26650,198216.69,7.44,2.01
11217,18250,243381.74,13.34,2.59
11218,32160,229521.66,7.14,1.97
11219,32400,235164.39,7.26,1.98
11220,50490,369036.59,7.31,1.99
11221,35060,257960.13,7.36,2
11222,22040,181093.86,8.22,2.11
11223,30770,226618.65,7.36,2
11224,19040,129396.83,6.8,1.92
11225,29260,220224.48,7.53,2.02
11226,49110,366496.32,7.46,2.01
11228,18300,142588.1,7.79,2.05
11229,34460,258026.72,7.49,2.01
11230,33340,252832.53,7.58,2.03
11231,16780,234188.55,13.96,2.64
11232,12290,86186.95,7.01,1.95
11233,29000,213176.44,7.35,1.99
11234,40530,340806.77,8.41,2.13
11235,36270,258090.04,7.12,1.96
11236,45200,338661.58,7.49,2.01
11237,22470,168870.87,7.52,2.02
11238,29100,257027.77,8.83,2.18
11239,6660,53652.63,8.06,2.09
11354,27300,172555.67,6.32,1.84
11355,45910,299556.17,6.52,1.87
11356,11260,78648.26,6.98,1.94
11357,19080,194361.36,10.19,2.32
11358,17890,137359.11,7.68,2.04
11360,9790,119396.37,12.2,2.5
11361,13420,116358.67,8.67,2.16
11362,8570,92692.51,10.82,2.38
11363,3410,49155.71,14.42,2.67
11364,17090,156140.43,9.14,2.21
11365,19910,154094.57,7.74,2.05
11366,6600,57779.78,8.75,2.17
11367,17940,133106.07,7.42,2
11368,48160,348892.13,7.24,1.98
11369,17160,121189.19,7.06,1.95
11370,13060,90921.25,6.96,1.94
11372,35000,238117.35,6.8,1.92
11373,49240,336582.7,6.84,1.92
11374,22040,172771.54,7.84,2.06
11375,35180,399897.96,11.37,2.43
11377,43880,298107.73,6.79,1.92
11378,16850,128088.36,7.6,2.03
11379,17220,154215.61,8.96,2.19
11385,47040,336273.92,7.15,1.97
11411,10400,83594.66,8.04,2.08
11412,17950,136608.93,7.61,2.03
11413,20390,158094.96,7.75,2.05
11414,12590,117159.41,9.31,2.23
11415,9490,80450.29,8.48,2.14
11416,11580,83673.6,7.23,1.98
11417,14100,101841.87,7.22,1.98
11418,16580,116856.05,7.05,1.95
11419,22280,161483.55,7.25,1.98
